Date,price,predicted_price_next_day,actual_price_next_day,actual_returns,predicted_returns,signal
2017-12-21,120.30999755859375,120.28445712743667,120.94000244140625,0.005236513137702126,,0
2017-12-22,120.94000244140625,120.66641316630951,121.7699966430664,0.006862859144246114,0.0031704086259806627,1
2017-12-26,121.7699966430664,121.23709595303035,122.2300033569336,0.0037776687734956127,0.004718276700624473,1
2017-12-27,122.2300033569336,121.93698234622887,122.8499984741211,0.005072364396301321,0.005756274111416416,1
2017-12-28,122.8499984741211,122.61309167995063,123.6500015258789,0.006512031434223742,0.005529428351716308,1
2017-12-29,123.6500015258789,123.26453173445118,125.1500015258789,0.012131014811884722,0.005298909024240668,1
2018-01-02,125.1500015258789,124.31133066623164,124.81999969482422,-0.002636850395774437,0.00845643965281079,1
2018-01-03,124.81999969482422,124.98669357305263,125.45999908447266,0.00512737855482448,0.00541813005579402,1
2018-01-04,125.45999908447266,125.59051847275741,125.33000183105469,-0.0010361649479244672,0.004819481097645722,1
2018-01-05,125.33000183105469,125.5473706713899,125.30999755859375,-0.00015961279955856167,-0.00034361841567679747,0
2018-01-08,125.30999755859375,125.6435135239116,124.7300033569336,-0.0046284750854691525,0.0007654963875344803,1
2018-01-09,124.7300033569336,125.282661258576,125.02999877929688,0.002405158456580736,-0.002876164787556275,0
2018-01-10,125.02999877929688,125.0979755551729,125.44000244140625,0.003279242310744168,-0.0014752397729164567,0
2018-01-11,125.44000244140625,125.09061102347852,126.95999908447266,0.012117319941670202,-5.887184381365643e-05,0
2018-01-12,126.95999908447266,125.9091039722256,127.16999816894531,0.0016540570729914883,0.0065218866880060195,1
2018-01-16,127.16999816894531,126.72113807564304,126.13999938964844,-0.008099385028916384,0.006428659478418962,1
2018-01-17,126.13999938964844,126.97160665704595,125.86000061035156,-0.002219746160232239,0.00197458278160664,1
2018-01-18,125.86000061035156,126.52115549214983,126.41999816894531,0.004449368789751107,-0.0035539605565118337,0
2018-01-19,126.41999816894531,126.19524936690375,126.6500015258789,0.0018193589642852004,-0.002579225563923592,0
2018-01-22,126.6500015258789,126.3690426850868,127.27999877929688,0.004974316982453653,0.00137623053679972,1
2018-01-23,127.27999877929688,126.88007266567054,128.8300018310547,0.012177899643490031,0.004035794348172074,1
2018-01-24,128.8300018310547,127.75951522615428,127.97000122070312,-0.006675468432262743,0.006907378891216369,1
2018-01-25,127.97000122070312,128.23089075725295,128.07000732421875,0.0007814808358339587,0.003682763516468495,1
2018-01-26,128.07000732421875,128.5222924676326,127.3499984741211,-0.005621994291566623,0.0022698985215193718,1
2018-01-29,127.3499984741211,127.92445939161757,126.80000305175781,-0.004318770545372663,-0.0046624428242785275,0
2018-01-30,126.80000305175781,127.43995359453916,127.6500015258789,0.006703457836465088,-0.003794627237108641,0
2018-01-31,127.6500015258789,127.23033786928401,128.07000732421875,0.003290292152912322,-0.0016461737361398254,0
2018-02-01,128.07000732421875,127.48125088577821,126.38999938964844,-0.013117887393550687,0.001970174179213902,1
2018-02-02,126.38999938964844,127.32275427237022,126.70999908447266,0.002531843471552664,-0.001244067052648954,0
2018-02-05,126.70999908447266,126.95877436894024,125.37999725341797,-0.010496423649786535,-0.0028628123636332704,0
2018-02-06,125.37999725341797,125.95896588610923,124.79000091552734,-0.004705665583148222,-0.007906236153045145,0
2018-02-07,124.79000091552734,125.39020638513864,124.9800033569336,0.0015225774502147793,-0.004525660192866612,0
2018-02-08,124.9800033569336,124.76723103884937,124.7699966430664,-0.0016803225174144565,-0.0049806764936260964,0
2018-02-09,124.7699966430664,124.58181754744378,125.37000274658203,0.004808897328354433,-0.0014871805337149078,0
2018-02-12,125.37000274658203,124.84734256575986,126.08000183105469,0.0056632293923437604,0.00212906236380368,1
2018-02-13,126.08000183105469,125.32467899219364,128.22999572753906,0.017052616317100977,0.003816070260170216,1
2018-02-14,128.22999572753906,126.70896612377916,128.3800048828125,0.001169844500285011,0.010985049644725029,1
2018-02-15,128.3800048828125,127.87068718425483,127.95999908447266,-0.003271582663696204,0.009126645505474512,1
2018-02-16,127.95999908447266,128.59611623847394,126.23999786376953,-0.013441710167313103,0.005657114130888903,1
2018-02-20,126.23999786376953,127.77807544480383,125.66000366210938,-0.004594377467322608,-0.006381637438178482,0
2018-02-21,125.66000366210938,126.66696716182149,126.30000305175781,0.005093103382117992,-0.008733637206715512,0
2018-02-22,126.30000305175781,125.97073488894192,126.13999938964844,-0.0012668539845070992,-0.005511719191552896,0
2018-02-23,126.13999938964844,125.89913979363385,126.44999694824219,0.0024575674654647717,-0.0005685086184015568,0
2018-02-26,126.44999694824219,126.19122507235603,125.12999725341797,-0.01043890649807222,0.002317307205164235,1
2018-02-27,125.12999725341797,125.74371242020281,125.0,-0.0010388975966705294,-0.0035526086796820607,0
2018-02-28,125.0,125.36062837789615,124.72000122070312,-0.0022399902343750444,-0.003051196473083861,0
2018-03-01,124.72000122070312,124.75075099302126,125.38999938964844,0.005372018620811936,-0.004876856024474897,0
2018-03-02,125.38999938964844,124.91410545727199,125.18000030517578,-0.0016747674096407872,0.0013085901627011899,1
2018-03-05,125.18000030517578,125.01066936120098,126.52999877929688,0.010784458146907872,0.0007727437890401763,1
2018-03-06,126.52999877929688,125.716750435393,125.72000122070312,-0.006401624645603676,0.00563227541144186,1
2018-03-07,125.72000122070312,125.86245702487749,125.41999816894531,-0.0023862794212923255,0.0011583358358358278,1
2018-03-08,125.41999816894531,125.97527594769741,125.54000091552734,0.0009568071147663115,0.0008959652633099003,1
