Symbol,Name,IPOYear,Sector,industry,primaryExchange,secType,currency,exchange,priceIncrement
OIH,,,,,ARCA,STK,USD,SMART,
M,,,,,CBOE,OPT,USD,CBOE,
XAGUSD,,,,,SMART,CMDTY,USD,SMART,
1299,,,,,SEHK,STK,HKD,,
700,,,,,SEHK,STK,HKD,,
HSI,HSI,,,,SEHK,IOPT,HKD,SEHK,
GLD,,,,,ARCA,STK,USD,,
NQ,,,,,GLOBEX,FUT,USD,GLOBEX,
ES,,,,,GLOBEX,FUT,USD,GLOBEX,
YM,,,,,ECBOT,FUT,USD,,
SPX,,,,,CBOE,IND,USD,SMART,
VIX,,,,,CBOE,IND,USD,SMART,
GE,,,,,GLOBEX,FUT,USD,GLOBEX,
GC,,,,,NYMEX,FUT,USD,NYMEX,
CL,,,,,NYMEX,FUT,USD,NYMEX,
SSO,,,,,ARCA,STK,USD,,
SPY,,,,,ARCA,STK,USD,,
VXX,,,,,ARCA,STK,USD,,
EUR,,,,,,CFD,USD,SMART,
GDX,,,,,ARCA,STK,USD,,
UNG,,,,,ARCA,STK,USD,,
NUGT,,,,,ARCA,STK,USD,,
DUST,,,,,ARCA,STK,USD,,
UGAZ,,,,,ARCA,STK,USD,,
DGAZ,,,,,ARCA,STK,USD,,
XLB,,,,,ARCA,STK,USD,,
XLU,,,,,ARCA,STK,USD,,
XLV,,,,,ARCA,STK,USD,,
XLP,,,,,ARCA,STK,USD,,
XLK,,,,,ARCA,STK,USD,,
XLF,,,,,ARCA,STK,USD,,
XLI,,,,,ARCA,STK,USD,,
XLY,,,,,ARCA,STK,USD,,
TATASTEEL,,,,,NSE,STK,INR,NSE,
IWV,,,,,ARCA,STK,USD,,
EFA,,,,,ARCA,STK,USD,,
DAX,,,,,,FUT,EUR,DTB,
XXII,"22nd Century Group, Inc",,Consumer Non-Durables,Farming/Seeds/Milling,AMEX,STK,USD,,
FAX,Aberdeen Asia-Pacific Income Fund Inc,1986,n/a,n/a,AMEX,STK,USD,,
IAF,Aberdeen Australia Equity Fund Inc,,n/a,n/a,AMEX,STK,USD,,
AEF,"Aberdeen Emerging Markets Equity Income Fund, Inc.",,n/a,n/a,AMEX,STK,USD,,
FCO,"Aberdeen Global Income Fund, Inc.",1992,n/a,n/a,AMEX,STK,USD,,
ACU,Acme United Corporation.,1988,Capital Goods,Industrial Machinery/Components,AMEX,STK,USD,,
ATNM,"Actinium Pharmaceuticals, Inc.",,Health Care,Major Pharmaceuticals,AMEX,STK,USD,,
AE,"Adams Resources & Energy, Inc.",,Energy,Oil Refining/Marketing,AMEX,STK,USD,,
ACY,AeroCentury Corp.,,Technology,Diversified Commercial Services,AMEX,STK,USD,,
UAVS,"AgEagle Aerial Systems, Inc.",,Energy,Oil & Gas Production,AMEX,STK,USD,,
AIRI,Air Industries Group,,Capital Goods,Military/Government/Technical,AMEX,STK,USD,,
AXU,Alexco Resource Corp,,Basic Industries,Precious Metals,AMEX,STK,USD,,
ALO,Alio Gold Inc.,2011,Basic Industries,Precious Metals,AMEX,STK,USD,,
AAU,"Almaden Minerals, Ltd.",2015,Basic Industries,Precious Metals,AMEX,STK,USD,,
APT,"Alpha Pro Tech, Ltd.",,Health Care,Industrial Specialties,AMEX,STK,USD,,
AAMC,Altisource Asset Management Corp,,Finance,Real Estate,AMEX,STK,USD,,
AMBO,Ambow Education Holding Ltd.,,Consumer Services,Other Consumer Services,AMEX,STK,USD,,
DIT,AMCON Distributing Company,,Consumer Non-Durables,Food Distributors,AMEX,STK,USD,,
ALN,American Lorain Corporation,,Consumer Non-Durables,Packaged Foods,AMEX,STK,USD,,
AMS,American Shared Hospital Services,,Health Care,Medical Specialities,AMEX,STK,USD,,
USAS,Americas Silver Corporation,2017,Basic Industries,Precious Metals,AMEX,STK,USD,,
AMPE,"Ampio Pharmaceuticals, Inc.",,Health Care,Major Pharmaceuticals,AMEX,STK,USD,,
APHB,AmpliPhi Biosciences Corporation,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),AMEX,STK,USD,,
AKG,Asanko Gold Inc.,,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),AMEX,STK,USD,,
AINC,Ashford Inc.,2014,Consumer Services,Professional Services,AMEX,STK,USD,,
AST,"Asterias Biotherapeutics, Inc.",,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),AMEX,STK,USD,,
AUG,Auryn Resources Inc.,,Basic Industries,Precious Metals,AMEX,STK,USD,,
AWX,Avalon Holdings Corporation,,Public Utilities,Environmental Services,AMEX,STK,USD,,
ASM,Avino Silver,,Basic Industries,Precious Metals,AMEX,STK,USD,,
BTG,B2Gold Corp,,Basic Industries,Precious Metals,AMEX,STK,USD,,
BTN,"Ballantyne Strong, Inc",,Miscellaneous,Industrial Machinery/Components,AMEX,STK,USD,,
BKJ,"Bancorp of New Jersey, Inc",,Finance,Major Banks,AMEX,STK,USD,,
BCV,Bancroft Fund Limited,,n/a,n/a,AMEX,STK,USD,,
BHB,"Bar Harbor Bankshares, Inc.",,Finance,Major Banks,AMEX,STK,USD,,
BRN,"Barnwell Industries, Inc.",,Energy,Oil & Gas Production,AMEX,STK,USD,,
BGSF,BG Staffing Inc,,Technology,Professional Services,AMEX,STK,USD,,
BPMX,BioPharmX Corporation,2015,Health Care,Major Pharmaceuticals,AMEX,STK,USD,,
BTX,"BioTime, Inc.",,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),AMEX,STK,USD,,
BGI,Birks Group Inc.,,Consumer Services,Consumer Specialties,AMEX,STK,USD,,
BKTI,"BK Technologies, Inc.",,Technology,Radio And Television Broadcasting And Communications Equipment,AMEX,STK,USD,,
BDR,"Blonder Tongue Laboratories, Inc.",,Technology,Radio And Television Broadcasting And Communications Equipment,AMEX,STK,USD,,
BRG,"Bluerock Residential Growth REIT, Inc.",2014,Consumer Services,Real Estate Investment Trusts,AMEX,STK,USD,,
BVX,Bovie Medical Corporation,,Health Care,Medical/Dental Instruments,AMEX,STK,USD,,
CMCL,Caledonia Mining Corporation Plc,,Basic Industries,Precious Metals,AMEX,STK,USD,,
CEI,"Camber Energy, Inc.",,Energy,Oil & Gas Production,AMEX,STK,USD,,
CANF,Can-Fite Biopharma Ltd,,Health Care,Major Pharmaceuticals,AMEX,STK,USD,,
ROX,"Castle Brands, Inc.",2006,Consumer Non-Durables,Beverages (Production/Distribution),AMEX,STK,USD,,
CAW,"CCA Industries, Inc.",,Consumer Non-Durables,Package Goods/Cosmetics,AMEX,STK,USD,,
CVM,Cel-Sci Corporation,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),AMEX,STK,USD,,
CET,Central Securities Corporation,,n/a,n/a,AMEX,STK,USD,,
LEU,Centrus Energy Corp.,2014,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),AMEX,STK,USD,,
CCF,Chase Corporation,,Consumer Durables,Building Products,AMEX,STK,USD,,
CQH,"Cheniere Energy Partners LP Holdings, LLC",2013,Public Utilities,Oil/Gas Transmission,AMEX,STK,USD,,
CQP,"Cheniere Energy Partners, LP",2007,Public Utilities,Oil/Gas Transmission,AMEX,STK,USD,,
LNG,"Cheniere Energy, Inc.",,Public Utilities,Oil/Gas Transmission,AMEX,STK,USD,,
CVR,Chicago Rivet & Machine Co.,,Technology,Industrial Machinery/Components,AMEX,STK,USD,,
CPHI,"China Pharma Holdings, Inc.",,Health Care,Major Pharmaceuticals,AMEX,STK,USD,,
CKX,"CKX Lands, Inc.",,Energy,Oil & Gas Production,AMEX,STK,USD,,
GLV,Clough Global Dividend and Income Fund,2004,n/a,n/a,AMEX,STK,USD,,
GLQ,Clough Global Equity Fund,2005,n/a,n/a,AMEX,STK,USD,,
GLO,Clough Global Opportunities Fund,2006,n/a,n/a,AMEX,STK,USD,,
COHN,Cohen & Company Inc.,,Finance,Investment Bankers/Brokers/Service,AMEX,STK,USD,,
MOC,Command Security Corporation,,Consumer Services,Diversified Commercial Services,AMEX,STK,USD,,
CIX,CompX International Inc.,1998,Capital Goods,Industrial Machinery/Components,AMEX,STK,USD,,
LODE,"Comstock Mining, Inc.",,Basic Industries,Precious Metals,AMEX,STK,USD,,
CDOR,"Condor Hospitality Trust, Inc.",,Consumer Services,Real Estate Investment Trusts,AMEX,STK,USD,,
CTO,Consolidated-Tomoka Land Co.,,Finance,Real Estate,AMEX,STK,USD,,
MCF,Contango Oil & Gas Company,,Energy,Oil & Gas Production,AMEX,STK,USD,,
CUO,Continental Materials Corporation,,Capital Goods,Building Materials,AMEX,STK,USD,,
CMT,Core Molding Technologies Inc,,Consumer Non-Durables,Plastic Products,AMEX,STK,USD,,
CVRS,"Corindus Vascular Robotics, Inc.",2015,Health Care,Medical/Dental Instruments,AMEX,STK,USD,,
CRMD,CorMedix Inc,,Health Care,Major Pharmaceuticals,AMEX,STK,USD,,
CRF,"Cornerstone Strategic Return Fund, Inc. (The)",,n/a,n/a,AMEX,STK,USD,,
CLM,"Cornerstone Strategic Value Fund, Inc.",1987,n/a,n/a,AMEX,STK,USD,,
CVU,"CPI Aerostructures, Inc.",,Capital Goods,Military/Government/Technical,AMEX,STK,USD,,
CIK,"Credit Suisse Asset Management Income Fund, Inc.",,n/a,n/a,AMEX,STK,USD,,
DHY,Credit Suisse High Yield Bond Fund,1998,n/a,n/a,AMEX,STK,USD,,
CRHM,CRH Medical Corporation,2015,Health Care,Medical/Dental Instruments,AMEX,STK,USD,,
CTEK,"CynergisTek, Inc.",2017,Miscellaneous,Business Services,AMEX,STK,USD,,
DXR,Daxor Corporation,,Health Care,Medical/Dental Instruments,AMEX,STK,USD,,
VCF,"Delaware Investments Colorado Municipal Income Fund, Inc",1993,n/a,n/a,AMEX,STK,USD,,
VFL,Delaware Investments Florida Insured Municipal Income Fund,1993,n/a,n/a,AMEX,STK,USD,,
VMM,"Delaware Investments Minnesota Municipal Income Fund II, Inc.",1993,n/a,n/a,AMEX,STK,USD,,
DLA,"Delta Apparel, Inc.",,Consumer Non-Durables,Apparel,AMEX,STK,USD,,
DNN,Denison Mine Corp,,Basic Industries,Precious Metals,AMEX,STK,USD,,
DGSE,"DGSE Companies, Inc.",,Consumer Services,Consumer Specialties,AMEX,STK,USD,,
DSS,"Document Security Systems, Inc.",,Consumer Durables,Containers/Packaging,AMEX,STK,USD,,
DPW,"DPW Holdings, Inc.",,Capital Goods,Industrial Machinery/Components,AMEX,STK,USD,,
DMF,"Dreyfus Municipal Income, Inc.",1988,n/a,n/a,AMEX,STK,USD,,
DXF,Dunxin Financial Holdings Limited,,Consumer Non-Durables,Apparel,AMEX,STK,USD,,
GRF,"Eagle Capital Growth Fund, Inc.",,n/a,n/a,AMEX,STK,USD,,
EVM,Eaton Vance California Municipal Bond Fund,2002,n/a,n/a,AMEX,STK,USD,,
EIA,Eaton Vance California Municipal Bond Fund II,2002,n/a,n/a,AMEX,STK,USD,,
CEV,Eaton Vance California Municipal Income Trust,1999,n/a,n/a,AMEX,STK,USD,,
EVV,Eaton Vance Limited Duration Income Fund,2003,n/a,n/a,AMEX,STK,USD,,
MAB,Eaton Vance Massachusetts Municipal Bond Fund,2002,n/a,n/a,AMEX,STK,USD,,
MMV,Eaton Vance Massachusetts Municipal Income Trust,1999,n/a,n/a,AMEX,STK,USD,,
MIW,Eaton Vance Michigan Municipal Bond Fund,2002,n/a,n/a,AMEX,STK,USD,,
EMI,Eaton Vance Michigan Municipal Income Trust,1999,n/a,n/a,AMEX,STK,USD,,
EIM,Eaton Vance Municipal Bond Fund,2002,n/a,n/a,AMEX,STK,USD,,
EIV,Eaton Vance Municipal Bond Fund II,2002,n/a,n/a,AMEX,STK,USD,,
EMJ,Eaton Vance New Jersey Municipal Bond Fund,2002,n/a,n/a,AMEX,STK,USD,,
EVJ,Eaton Vance New Jersey Municipal Income Trust,1999,n/a,n/a,AMEX,STK,USD,,
ENX,Eaton Vance New York Municipal Bond Fund,2002,n/a,n/a,AMEX,STK,USD,,
NYH,Eaton Vance New York Municipal Bond Fund II,2002,n/a,n/a,AMEX,STK,USD,,
EVY,Eaton Vance New York Municipal Income Trust,1999,n/a,n/a,AMEX,STK,USD,,
EIO,Eaton Vance Ohio Municipal Bond Fund,2002,n/a,n/a,AMEX,STK,USD,,
EVO,Eaton Vance Ohio Municipal Income Trust,1999,n/a,n/a,AMEX,STK,USD,,
EIP,Eaton Vance Pennsylvania Municipal Bond Fund,2002,n/a,n/a,AMEX,STK,USD,,
EVP,Eaton Vance Pennsylvania Municipal Income Trust,1999,n/a,n/a,AMEX,STK,USD,,
ELMD,"Electromed, Inc.",2011,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,AMEX,STK,USD,,
ELLO,Ellomay Capital Ltd.,,Public Utilities,Electric Utilities: Central,AMEX,STK,USD,,
ECF,Ellsworth Growth and Income Fund Ltd.,1986,n/a,n/a,AMEX,STK,USD,,
EMAN,eMagin Corporation,,Technology,Semiconductors,AMEX,STK,USD,,
MSN,Emerson Radio Corporation,,Consumer Non-Durables,Consumer Electronics/Appliances,AMEX,STK,USD,,
EMX,EMX Royalty Corporation,,Basic Industries,Precious Metals,AMEX,STK,USD,,
UUUU,Energy Fuels Inc,,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),AMEX,STK,USD,,
ENSV,ENSERVCO Corporation,,Energy,Oilfield Services/Equipment,AMEX,STK,USD,,
ESNC,"EnSync, Inc.",,Public Utilities,Electric Utilities: Central,AMEX,STK,USD,,
EGI,Entree Resources Ltd.,2017,Basic Industries,Precious Metals,AMEX,STK,USD,,
EVI,"EnviroStarm, Inc.",,Consumer Services,Other Consumer Services,AMEX,STK,USD,,
ESP,Espey Mfg. & Electronics Corp.,,Capital Goods,Industrial Machinery/Components,AMEX,STK,USD,,
EVBN,"Evans Bancorp, Inc.",,Finance,Major Banks,AMEX,STK,USD,,
EPM,"Evolution Petroleum Corporation, Inc.",,Energy,Oil & Gas Production,AMEX,STK,USD,,
FEN,First Trust Energy Income and Growth Fund,2004,n/a,n/a,AMEX,STK,USD,,
BDL,"Flanigan&#39;s Enterprises, Inc.",,Consumer Services,Restaurants,AMEX,STK,USD,,
FSI,Flexible Solutions International Inc.,,Basic Industries,Major Chemicals,AMEX,STK,USD,,
FTF,Franklin Limited Duration Income Trust,2003,n/a,n/a,AMEX,STK,USD,,
FSP,Franklin Street Properties Corp.,,Consumer Services,Real Estate Investment Trusts,AMEX,STK,USD,,
FRD,Friedman Industries Inc.,,Capital Goods,Steel/Iron Ore,AMEX,STK,USD,,
FTNW,"FTE Networks, Inc.",,Public Utilities,Telecommunications Equipment,AMEX,STK,USD,,
GGN,"GAMCO Global Gold, Natural Reources & Income Trust ",2005,n/a,n/a,AMEX,STK,USD,,
GST,Gastar Exploration Inc.,,Energy,Oil & Gas Production,AMEX,STK,USD,,
JOB,GEE Group Inc.,,Technology,Diversified Commercial Services,AMEX,STK,USD,,
GMO,"General Moly, Inc",,Basic Industries,Precious Metals,AMEX,STK,USD,,
GSB,"GlobalSCAPE, Inc.",,Technology,Computer Software: Prepackaged Software,AMEX,STK,USD,,
GSAT,"Globalstar, Inc.",2006,Consumer Services,Telecommunications Equipment,AMEX,STK,USD,,
GLOW,"Glowpoint, Inc.",,Public Utilities,Telecommunications Equipment,AMEX,STK,USD,,
GORO,Gold Resource Corporation,,Basic Industries,Precious Metals,AMEX,STK,USD,,
GSV,Gold Standard Ventures Corporation,,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),AMEX,STK,USD,,
AUMN,Golden Minerals Company,,Basic Industries,Precious Metals,AMEX,STK,USD,,
GSS,"Golden Star Resources, Ltd",,Basic Industries,Precious Metals,AMEX,STK,USD,,
GV,Goldfield Corporation (The),,Basic Industries,Water Supply,AMEX,STK,USD,,
GDP,Goodrich Petroleum Corporation,2017,Energy,Oil & Gas Production,AMEX,STK,USD,,
GTE,Gran Tierra Energy Inc.,,Energy,Oil & Gas Production,AMEX,STK,USD,,
GPL,Great Panther Silver Limited,,Basic Industries,Precious Metals,AMEX,STK,USD,,
SIM,"Grupo Simec, S.A. de C.V.",1993,Basic Industries,Steel/Iron Ore,AMEX,STK,USD,,
GLF,"GulfMark Offshore, Inc.",2017,Energy,Metal Fabrications,AMEX,STK,USD,,
HEB,"Hemispherx BioPharma, Inc.",,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),AMEX,STK,USD,,
HCAC,Hennessy Capital Acquisition Corp. III,2017,Finance,Business Services,AMEX,STK,USD,,
HMG,"HMG/Courtland Properties, Inc.",,Consumer Services,Real Estate Investment Trusts,AMEX,STK,USD,,
HUSA,Houston American Energy Corporation,,Energy,Oil & Gas Production,AMEX,STK,USD,,
IBIO,"iBio, Inc.",,Health Care,Major Pharmaceuticals,AMEX,STK,USD,,
IBO,IBO (Listing Market - NYSE Amex Network B F),,n/a,n/a,AMEX,STK,USD,,
IEC,IEC Electronics Corp.,,Technology,Electrical Products,AMEX,STK,USD,,
IMUC,"ImmunoCellular Therapeutics, Ltd.",,Health Care,Major Pharmaceuticals,AMEX,STK,USD,,
IMH,"Impac Mortgage Holdings, Inc.",1997,Consumer Services,Real Estate Investment Trusts,AMEX,STK,USD,,
IMO,Imperial Oil Limited,,Energy,Integrated oil Companies,AMEX,STK,USD,,
IOR,"Income Opportunity Realty Investors, Inc.",,Consumer Services,Real Estate Investment Trusts,AMEX,STK,USD,,
IGC,India Globalization Capital Inc.,,Consumer Non-Durables,Electronic Components,AMEX,STK,USD,,
INFU,"InfuSystems Holdings, Inc.",,Health Care,Medical/Dental Instruments,AMEX,STK,USD,,
IHT,InnSuites Hospitality Trust,,Consumer Services,Real Estate Investment Trusts,AMEX,STK,USD,,
NSPR,InspireMD Inc.,,Health Care,Medical/Dental Instruments,AMEX,STK,USD,,
IDN,"Intellicheck, Inc.",1999,Technology,Computer Software: Prepackaged Software,AMEX,STK,USD,,
INS,Intelligent Systems Corporation,1992,Technology,Computer Software: Prepackaged Software,AMEX,STK,USD,,
THM,International Tower Hill Mines Ltd,,Basic Industries,Precious Metals,AMEX,STK,USD,,
INTT,inTest Corporation,1997,Capital Goods,Electrical Products,AMEX,STK,USD,,
INUV,"Inuvo, Inc",,Consumer Services,Advertising,AMEX,STK,USD,,
VKI,Invesco Advantage Municipal Income Trust II,,n/a,n/a,AMEX,STK,USD,,
ISR,"IsoRay, Inc.",,Health Care,Medical/Dental Instruments,AMEX,STK,USD,,
ISDR,Issuer Direct Corporation,,Miscellaneous,Publishing,AMEX,STK,USD,,
KIQ,Kelso Technologies Inc,,Capital Goods,Railroads,AMEX,STK,USD,,
KLDX,Klondex Mines Ltd.,,Basic Industries,Precious Metals,AMEX,STK,USD,,
LTS,Ladenburg Thalmann Financial Services Inc,,Finance,Investment Bankers/Brokers/Service,AMEX,STK,USD,,
LTSL,Ladenburg Thalmann Financial Services Inc,2017,Finance,Investment Bankers/Brokers/Service,AMEX,STK,USD,,
LTSF,Ladenburg Thalmann Financial Services Inc.,2018,Finance,Investment Bankers/Brokers/Service,AMEX,STK,USD,,
LEVB,"Level Brands, Inc.",2017,Consumer Non-Durables,Package Goods/Cosmetics,AMEX,STK,USD,,
LGL,"LGL Group, Inc. (The)",,Capital Goods,Industrial Machinery/Components,AMEX,STK,USD,,
LBY,"Libbey, Inc.",1993,Capital Goods,Industrial Machinery/Components,AMEX,STK,USD,,
LLEX,"Lilis Energy, Inc.",,Energy,Oil & Gas Production,AMEX,STK,USD,,
LIQT,"LiqTech International, Inc.",,Technology,Industrial Machinery/Components,AMEX,STK,USD,,
MAG,MAG Silver Corporation,,Basic Industries,Precious Metals,AMEX,STK,USD,,
MJCO,Majesco,2015,Technology,Computer Software: Prepackaged Software,AMEX,STK,USD,,
MHH,"Mastech Digital, Inc",,Consumer Services,Professional Services,AMEX,STK,USD,,
MTNB,"Matinas Biopharma Holdings, Inc.",2017,Health Care,Major Pharmaceuticals,AMEX,STK,USD,,
MNI,McClatchy Company (The),1988,Consumer Services,Newspapers/Magazines,AMEX,STK,USD,,
IPB,"Merrill Lynch & Co., Inc. 6.0518% Index Plus Trust Certificate",,Finance,Finance: Consumer Services,AMEX,STK,USD,,
MXC,Mexco Energy Corporation,,Energy,Oil & Gas Production,AMEX,STK,USD,,
CCA,MFS California Insured Municipal Trust,1999,n/a,n/a,AMEX,STK,USD,,
MICR,"Micron Solutions, Inc.",,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,AMEX,STK,USD,,
MLSS,"Milestone Scientific, Inc.",2015,Health Care,Industrial Specialties,AMEX,STK,USD,,
MYO,Myomo Inc.,2017,Health Care,Industrial Specialties,AMEX,STK,USD,,
NNVC,"NanoViricides, Inc.",,Health Care,Biotechnology: Commercial Physical & Biological Resarch,AMEX,STK,USD,,
ATEST,ISLAND TEST STOCK,,n/a,n/a,AMEX,STK,USD,,
NHC,National HealthCare Corporation,,Health Care,Hospital/Nursing Management,AMEX,STK,USD,,
NAVB,"Navidea Biopharmaceuticals, Inc.",,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,AMEX,STK,USD,,
NTIP,"Network-1 Technologies, Inc.",,Miscellaneous,Multi-Sector Companies,AMEX,STK,USD,,
NBW,Neuberger Berman California Intermediate Municipal Fund Inc.,2002,n/a,n/a,AMEX,STK,USD,,
NHS,Neuberger Berman High Yield Strategies Fund,,n/a,n/a,AMEX,STK,USD,,
NBH,Neuberger Berman Intermediate Municipal Fund Inc.,2002,n/a,n/a,AMEX,STK,USD,,
NML,Neuberger Berman MLP Income Fund Inc.,2013,n/a,n/a,AMEX,STK,USD,,
NBO,Neuberger Berman New York Intermediate Municipal Fund Inc.,2002,n/a,n/a,AMEX,STK,USD,,
NRO,"Neuberger Berman Real Estate Securities Income Fund, Inc.",2003,n/a,n/a,AMEX,STK,USD,,
UWN,"Nevada Gold & Casinos, Inc.",,Consumer Services,Services-Misc. Amusement & Recreation,AMEX,STK,USD,,
NSU,Nevsun Resources Ltd,,Basic Industries,Precious Metals,AMEX,STK,USD,,
GBR,"New Concept Energy, Inc",,Energy,Oil & Gas Production,AMEX,STK,USD,,
NEN,New England Realty Associates Limited Partnership,,Consumer Services,Building operators,AMEX,STK,USD,,
NGD,New Gold Inc.,,Basic Industries,Precious Metals,AMEX,STK,USD,,
NXE,Nexgen Energy Ltd.,,Basic Industries,Precious Metals,AMEX,STK,USD,,
HLTH,Nobilis Health Corp.,2015,Health Care,Hospital/Nursing Management,AMEX,STK,USD,,
NAK,"Northern Dynasty Minerals, Ltd.",,Basic Industries,Precious Metals,AMEX,STK,USD,,
NOG,"Northern Oil and Gas, Inc.",,Energy,Oil & Gas Production,AMEX,STK,USD,,
NBY,"NovaBay Pharmaceuticals, Inc.",2007,Health Care,Major Pharmaceuticals,AMEX,STK,USD,,
NG,Novagold Resources Inc.,,Basic Industries,Precious Metals,AMEX,STK,USD,,
NTN,"NTN Buzztime, Inc.",,Consumer Services,Broadcasting,AMEX,STK,USD,,
NES,"Nuverra Environmental Solutions, Inc.",2017,Energy,Oilfield Services/Equipment,AMEX,STK,USD,,
OCX,OncoCyte Corporation,2015,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,AMEX,STK,USD,,
OGEN,Oragenics Inc.,,Health Care,Major Pharmaceuticals,AMEX,STK,USD,,
TIS,Orchids Paper Products Company,2005,Basic Industries,Paper,AMEX,STK,USD,,
ONP,"Orient Paper, Inc.",,Consumer Durables,Containers/Packaging,AMEX,STK,USD,,
ORM,"Owens Realty Mortgage, Inc.",2013,Consumer Services,Real Estate Investment Trusts,AMEX,STK,USD,,
PTN,"Palatin Technologies, Inc.",,Health Care,Major Pharmaceuticals,AMEX,STK,USD,,
PZG,Paramount Gold Nevada Corp.,2015,Basic Industries,Precious Metals,AMEX,STK,USD,,
TEUM,Pareteum Corporation,,Technology,EDP Services,AMEX,STK,USD,,
PRK,Park National Corporation,,Finance,Major Banks,AMEX,STK,USD,,
PED,Pedevco Corp.,,Energy,Oil & Gas Production,AMEX,STK,USD,,
PFNX,Pfenex Inc.,2014,Health Care,Major Pharmaceuticals,AMEX,STK,USD,,
HNW,Pioneer Diversified High Income Trust,2007,n/a,n/a,AMEX,STK,USD,,
PLG,Platinum Group Metals Ltd.,,Basic Industries,Precious Metals,AMEX,STK,USD,,
PLYM,"Plymouth Industrial REIT, Inc.",2017,Consumer Services,Real Estate Investment Trusts,AMEX,STK,USD,,
PLM,Polymet Mining Corp.,,Basic Industries,Precious Metals,AMEX,STK,USD,,
PW,Power REIT,,Consumer Services,Real Estate Investment Trusts,AMEX,STK,USD,,
PLX,"Protalix BioTherapeutics, Inc.",,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),AMEX,STK,USD,,
RLGT,"Radiant Logistics, Inc.",,Transportation,Oil Refining/Marketing,AMEX,STK,USD,,
RFL,"Rafael Holdings, Inc.",2018,Finance,Real Estate,AMEX,STK,USD,,
UTG,Reaves Utility Income Fund,2004,n/a,n/a,AMEX,STK,USD,,
REED,"Reeds, Inc.",,Consumer Non-Durables,Beverages (Production/Distribution),AMEX,STK,USD,,
RHE,"Regional Health Properties, Inc.",2017,Consumer Services,Real Estate Investment Trusts,AMEX,STK,USD,,
RCG,"RENN Fund, Inc.",,n/a,n/a,AMEX,STK,USD,,
RVP,"Retractable Technologies, Inc.",,Health Care,Medical/Dental Instruments,AMEX,STK,USD,,
RNN,"Rexahn Pharmaceuticals, Inc.",,Health Care,Major Pharmaceuticals,AMEX,STK,USD,,
REI,"Ring Energy, Inc.",,Energy,Oil & Gas Production,AMEX,STK,USD,,
RIF,RMR Real Estate Income Fund,,n/a,n/a,AMEX,STK,USD,,
SACH,Sachem Capital Corp.,2017,Consumer Services,Real Estate Investment Trusts,AMEX,STK,USD,,
SGA,"Saga Communications, Inc.",,Consumer Services,Broadcasting,AMEX,STK,USD,,
SNMP,Sanchez Midstream Partners LP,,Energy,Oil & Gas Production,AMEX,STK,USD,,
SAND          ,Sandstorm Gold Ltd,,Basic Industries,Precious Metals,AMEX,STK,USD,,
SEB,Seaboard Corporation,1996,Finance,Investment Bankers/Brokers/Service,AMEX,STK,USD,,
SENS,"Senseonics Holdings, Inc.",,Capital Goods,Industrial Machinery/Components,AMEX,STK,USD,,
SVT,"Servotronics, Inc.",,Capital Goods,Industrial Machinery/Components,AMEX,STK,USD,,
SMTS,Sierra Metals Inc.,,Basic Industries,Precious Metals,AMEX,STK,USD,,
SIF,"SIFCO Industries, Inc.",,Capital Goods,Aerospace,AMEX,STK,USD,,
SVM,Silvercorp Metals Inc.,,Basic Industries,Precious Metals,AMEX,STK,USD,,
XPL,Solitario Zinc Corp.,,Basic Industries,Precious Metals,AMEX,STK,USD,,
SGB,Southwest Georgia Financial Corporation,,Finance,Major Banks,AMEX,STK,USD,,
LOV,"Spark Networks, Inc.",2017,Consumer Services,Other Consumer Services,AMEX,STK,USD,,
SRCI,SRC Energy Inc.,,Energy,Oil & Gas Production,AMEX,STK,USD,,
SDI,Standard Diversified Inc.,,Consumer Non-Durables,Tobacco,AMEX,STK,USD,,
SSY,"SunLink Health Systems, Inc.",,Health Care,Hospital/Nursing Management,AMEX,STK,USD,,
SDPI,"Superior Drilling Products, Inc.",2014,Energy,Metal Fabrications,AMEX,STK,USD,,
SYN,"Synthetic Biologics, Inc",,Health Care,Major Pharmaceuticals,AMEX,STK,USD,,
TKAT,"Takung Art Co., Ltd.",,Consumer Services,Other Specialty Stores,AMEX,STK,USD,,
TRX,Tanzanian Royalty Exploration Corporation,,Basic Industries,Precious Metals,AMEX,STK,USD,,
TGB,Taseko Mines Limited,,Basic Industries,Precious Metals,AMEX,STK,USD,,
TIK,Tel-Instrument Electronics Corp.,,Capital Goods,Electrical Products,AMEX,STK,USD,,
