Symbol,Name,IPOYear,Sector,industry,primaryExchange,secType,currency,exchange,priceIncrement
WSTL,"Westell Technologies, Inc.",1995,Public Utilities,Telecommunications Equipment,ISLAND,STK,USD,,
WDC,Western Digital Corporation,,Technology,Electronic Components,ISLAND,STK,USD,,
WNEB,"Western New England Bancorp, Inc.",,Finance,Savings Institutions,ISLAND,STK,USD,,
WPRT,Westport Fuel Systems Inc,,Energy,Industrial Machinery/Components,ISLAND,STK,USD,,
WWR,"Westwater Resources, Inc.",,Basic Industries,Precious Metals,ISLAND,STK,USD,,
WEYS,"Weyco Group, Inc.",,Consumer Non-Durables,Apparel,ISLAND,STK,USD,,
WHLR,"Wheeler Real Estate Investment Trust, Inc.",2012,Consumer Services,Real Estate Investment Trusts,ISLAND,STK,USD,,
WHLRD,"Wheeler Real Estate Investment Trust, Inc.",,Consumer Services,Real Estate Investment Trusts,ISLAND,STK,USD,,
WHLRP,"Wheeler Real Estate Investment Trust, Inc.",,Consumer Services,Real Estate Investment Trusts,ISLAND,STK,USD,,
WHLRW,"Wheeler Real Estate Investment Trust, Inc.",,Consumer Services,Real Estate Investment Trusts,ISLAND,STK,USD,,
WHF,"WhiteHorse Finance, Inc.",,n/a,n/a,ISLAND,STK,USD,,
WHFBL,"WhiteHorse Finance, Inc.",,n/a,n/a,ISLAND,STK,USD,,
WHLM,"Wilhelmina International, Inc.",,Consumer Services,Professional Services,ISLAND,STK,USD,,
WVVI,"Willamette Valley Vineyards, Inc.",,Consumer Non-Durables,Beverages (Production/Distribution),ISLAND,STK,USD,,
WVVIP,"Willamette Valley Vineyards, Inc.",,Consumer Non-Durables,Beverages (Production/Distribution),ISLAND,STK,USD,,
WLDN,"Willdan Group, Inc.",2006,Consumer Services,Military/Government/Technical,ISLAND,STK,USD,,
WLFC,Willis Lease Finance Corporation,1996,Consumer Durables,Industrial Specialties,ISLAND,STK,USD,,
WLTW,Willis Towers Watson Public Limited Company,,Finance,Specialty Insurers,ISLAND,STK,USD,,
WSC,WillScot Corporation,2015,n/a,n/a,ISLAND,STK,USD,,
WSCWW,WillScot Corporation,2015,n/a,n/a,ISLAND,STK,USD,,
WIN,"Windstream Holdings, Inc.",,Public Utilities,Telecommunications Equipment,ISLAND,STK,USD,,
WING,Wingstop Inc.,2015,Consumer Services,Restaurants,ISLAND,STK,USD,,
WINA,Winmark Corporation,,Consumer Services,Other Specialty Stores,ISLAND,STK,USD,,
WINS,Wins Finance Holdings Inc.,2014,Finance,Finance: Consumer Services,ISLAND,STK,USD,,
WTFC,Wintrust Financial Corporation,,Finance,Major Banks,ISLAND,STK,USD,,
