Date,Amazon,Apple,Walmart,Micron,Bank of America,Coca-Cola,Boeing,American Express
2009-12-31,6.492372035980225,134.52000427246094,34.291534423828125,41.856788635253906,13.179973602294922,18.8043212890625,10.5600004196167,40.80268859863281
2010-01-04,6.593425750732422,133.89999389648438,34.630035400390625,43.44197463989258,13.731325149536133,18.81751251220703,10.850000381469727,41.398109436035156
2010-01-05,6.604825019836426,134.69000244140625,34.55387878417969,44.86477279663086,14.177655220031738,18.589881896972656,11.170000076293945,40.98588562011719
2010-01-06,6.499767780303955,132.25,35.112430572509766,46.22572708129883,14.343937873840332,18.583282470703125,11.220000267028809,40.894283294677734
2010-01-07,6.487752437591553,130.0,35.681915283203125,48.09703063964844,14.816527366638184,18.537094116210938,10.84000015258789,40.91718292236328
2010-01-08,6.530883312225342,133.52000427246094,35.656410217285156,47.63306427001953,14.685253143310547,18.194000244140625,11.100000381469727,40.71107482910156
2010-01-11,6.473270893096924,130.30999755859375,35.24842834472656,47.068580627441406,14.816527366638184,18.56348991394043,10.899999618530273,41.38285827636719
2010-01-12,6.399638652801514,127.3499984741211,35.71590805053711,46.72837448120117,14.317687034606934,18.76472282409668,10.260000228881836,41.77981185913086
2010-01-13,6.4899067878723145,129.11000061035156,35.826416015625,47.29282760620117,14.5452299118042,18.814210891723633,10.460000038146973,41.9935417175293
2010-01-14,6.452320098876953,127.3499984741211,36.27688980102539,47.602142333984375,14.720261573791504,18.847200393676758,10.729999542236328,41.38285827636719
2010-01-15,6.344489574432373,127.13999938964844,36.030391693115234,47.02992630004883,14.230168342590332,18.570085525512695,10.130000114440918,40.97826385498047
2010-01-19,6.62515926361084,127.61000061035156,36.514888763427734,46.89847946166992,14.282678604125977,18.61296844482422,10.279999732971191,41.24543762207031
2010-01-20,6.523180961608887,125.77999877929688,36.53187942504883,46.55051040649414,14.431456565856934,18.309465408325195,9.979999542236328,41.11566925048828
2010-01-21,6.410421371459961,126.62000274658203,35.834896087646484,45.7772331237793,13.538786888122559,17.936676025390625,9.800000190734863,40.3980827331543
2010-01-22,6.092471122741699,121.43000030517578,32.800498962402344,44.67146301269531,13.039944648742676,17.893787384033203,9.130000114440918,40.41335678100586
2010-01-25,6.25637674331665,120.30999755859375,32.120521545410156,44.67920684814453,13.109960556030273,17.930078506469727,9.329999923706055,40.36756134033203
2010-01-26,6.344798564910889,119.4800033569336,32.38401794433594,44.62507629394531,12.926177978515625,17.86080551147461,9.4399995803833,40.92481994628906
2010-01-27,6.404567241668701,122.75,32.868492126464844,47.888248443603516,13.293745994567871,17.982860565185547,9.720000267028809,40.764522552490234
