Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close,Average Price,Total Traded Quantity,Turnover,No. of Trades
INFY,EQ,28-Mar-16,1207.8,1232.4,1237,1195.75,1209,1204.9,1212.25,5393755,6538591760,112913
INFY,EQ,29-Mar-16,1204.9,1199,1218.9,1191.55,1195,1197.25,1205.49,3497678,4216417212,91763
INFY,EQ,30-Mar-16,1197.25,1197.6,1210,1195.55,1206.6,1205.95,1205.03,2878409,3468574631,94161
INFY,EQ,31-Mar-16,1205.95,1210.25,1229.9,1200.3,1220,1218.3,1215.31,8998160,10935517716,207681
INFY,BL,1-Apr-16,2136.1,1220.25,1220.25,1220.15,1220.15,1220.15,1220.18,775000,945635922.1,2
INFY,EQ,1-Apr-16,1218.3,1216,1222.2,1195.1,1207.6,1205.45,1208.16,2755714,3329332085,97501
INFY,EQ,4-Apr-16,1205.45,1213.55,1248,1213.55,1245.3,1243.7,1234.52,2288527,2825238080,76941
INFY,EQ,5-Apr-16,1243.7,1242,1242.3,1214,1218,1219.8,1227.4,2395358,2940055243,72189
INFY,EQ,6-Apr-16,1219.8,1228,1228,1196,1201.65,1200.7,1208.74,2465677,2980355277,82745
INFY,EQ,7-Apr-16,1200.7,1208.4,1208.4,1175,1181,1181.5,1183.37,2828945,3347681450,110844
INFY,EQ,8-Apr-16,1181.5,1175.85,1177.5,1162.05,1167.25,1165.75,1169.04,2097789,2452392809,73531
INFY,EQ,11-Apr-16,1165.75,1165.8,1186.75,1151.1,1184.1,1183.9,1170.05,2884339,3374830285,94441
INFY,EQ,12-Apr-16,1183.9,1180.5,1194.9,1178.6,1183,1182.2,1185.97,2921069,3464293129,91101
INFY,EQ,13-Apr-16,1182.2,1194.95,1194.95,1166.35,1176,1172.7,1176.38,6255693,7359084499,184136
INFY,EQ,18-Apr-16,1172.7,1250,1267.9,1233.5,1237.15,1238.7,1247.17,12507995,15599650786,287988
INFY,EQ,20-Apr-16,1238.7,1244,1246.45,1225.8,1244,1243.6,1237.18,4036424,4993801015,139599
INFY,EQ,21-Apr-16,1243.6,1251,1251,1218.1,1226.8,1226.3,1231.52,2720550,3350409729,97218
INFY,EQ,22-Apr-16,1226.3,1226.3,1228.5,1207,1212.75,1211.25,1215.94,2571969,3127365365,96983
INFY,EQ,25-Apr-16,1211.25,1212.05,1224.8,1201.1,1219.25,1215.85,1211.42,2682067,3249112708,91828
INFY,EQ,26-Apr-16,1215.85,1215.45,1239.55,1208.6,1230.15,1232.15,1227.12,2923372,3587319457,91684
INFY,EQ,27-Apr-16,1232.15,1229.2,1242.35,1228.55,1239.15,1240.15,1236.9,2243104,2774491729,110848
INFY,EQ,28-Apr-16,1240.15,1231,1239.6,1207,1210,1209.15,1213.55,6082584,7381519426,136015
