Date,High,Low,Open,Close,Volume,Adj Close
26-04-2010,395.5,390.1000061,393,392.5499878,2512548,294.1119385
27-04-2010,394.9500122,390.5249939,392.9750061,393.6499939,2621234,294.9361572
28-04-2010,391.9750061,382.5,390,385.1499939,2400382,288.5676575
29-04-2010,387.625,377.7999878,387.5499878,379.875,4622964,284.615387
30-04-2010,386.3999939,381.2749939,382.5,382.7000122,3690224,286.7320862
03-05-2010,385.7000122,377.0499878,380.625,383.3999939,2416560,287.2564087
04-05-2010,387.4249878,378.3999939,387.4249878,380.5,2896028,285.0836792
05-05-2010,384,370.0750122,375,382.875,4371230,286.8630676
06-05-2010,385.4500122,379.6000061,383.9750061,383.5499878,2580872,287.3688965
07-05-2010,381.2999878,367.5,378.5,370.7000122,4267152,277.7411804
10-05-2010,421.5,372.5,380,385.125,2327814,288.5489197
11-05-2010,389.5,376.9500122,387.5,378.1499939,1351288,283.322937
12-05-2010,383.9750061,375.5499878,378.5,379.7250061,2740076,284.5029602
13-05-2010,386.6000061,380.7250061,382.5499878,382.7999878,1321452,286.8069153
14-05-2010,388.5,377.5,383,381.9249878,2026996,286.1513062
17-05-2010,387.4750061,367.0499878,387.4750061,372.875,3722050,279.3707275
18-05-2010,373,363.1499939,373,367.5499878,3199180,275.3811035
19-05-2010,366.5,358.1499939,365,360.75,3929266,270.2862549
20-05-2010,366.1499939,358.0750122,364.5,365,2398092,273.4705505
21-05-2010,362.9500122,342.625,355,359.3500061,2675092,269.2373352
24-05-2010,365,356.3500061,362.5,358.7999878,2885428,268.8252869
25-05-2010,357,345.7749939,354,349.7749939,2297366,262.063446
26-05-2010,372.3999939,352.0499878,354,369,3689464,276.4674683
27-05-2010,374.9750061,363.6000061,367.5,370.9249878,6883872,277.9097595
28-05-2010,376.75,367.75,374.8999939,375.3999939,2479374,281.2626343
31-05-2010,376.4500122,369,374.25,371.5249939,3327660,278.359314
01-06-2010,375.9750061,367.3500061,371.5249939,369.6000061,3136912,276.9169922
02-06-2010,379.75,368.1499939,368.8999939,377.125,2769330,282.5549622
03-06-2010,384.5,372.5499878,380,382.7250061,1684434,286.7506409
04-06-2010,384.8500061,377.6000061,382.7250061,382.6749878,1368210,286.7132263
07-06-2010,378.8999939,368,374.9500122,376.625,1734922,282.1804199
08-06-2010,381,373.5,377,375.1000061,2242222,281.0379028
09-06-2010,379.2749939,365.5,376,366.5249939,4867400,274.6131287
10-06-2010,376.5,365,365,375.25,1796036,281.1502075
11-06-2010,381.6499939,375.5,380.8999939,379.5499878,3237024,284.3719177
14-06-2010,393.5499878,379,381.6749878,390.5,3550492,292.5760193
15-06-2010,388.8500061,378.3250122,378.3250122,383.0499878,2642976,289.964386
16-06-2010,389.9750061,383.6499939,388.5499878,387.3999939,2328816,293.2573242
17-06-2010,392.3999939,381.8500061,388.5,387.6499939,1528920,293.4465637
18-06-2010,394.4500122,386.125,387.6499939,391.6000061,2225672,296.4367065
21-06-2010,397,392.2999878,396.4500122,393.8500061,1907428,298.1398621
22-06-2010,393.25,386.6499939,392.5,389.3250122,1468324,294.7145081
23-06-2010,394.4750061,384.9249878,385,393.1499939,2959524,297.6100159
24-06-2010,394.25,383.8500061,393.1499939,386.7250061,3777510,292.7463684
25-06-2010,387.8999939,378.0499878,387.8999939,379.25,2037322,287.0877686
28-06-2010,383.5750122,378.7999878,379.2250061,382.375,1153124,289.4534912
29-06-2010,382.5,374.5,382.5,376.8999939,2614662,285.30896
30-06-2010,379.9500122,370.625,377.5,375.5,3316516,284.2492371
01-07-2010,375,362.875,375,366,3407744,277.0577393
02-07-2010,373,365.4249878,367.3999939,371.8999939,2943550,281.5240479
05-07-2010,374.4500122,368.5499878,374.3999939,369.5,2165596,279.7071838
06-07-2010,380.9500122,367.9249878,368.25,379.5750122,2760904,287.3339233
07-07-2010,383.7000122,374.4750061,380.7000122,382.2999878,2152934,289.3966675
08-07-2010,389.5,384.8250122,386,388.3999939,2187564,294.0143127
09-07-2010,392,385.375,390,387.2250061,1836666,293.1247559
12-07-2010,397,389.8999939,389.8999939,395.8500061,2725776,299.6539001
13-07-2010,396,384.7749939,396,387.3250122,5545886,293.2005615
14-07-2010,392.3500061,385.125,389,387.3250122,2833842,293.2005615
15-07-2010,392.4500122,382.625,385.5,391.0499878,3795536,296.0203552
16-07-2010,419.25,397.5,397.5,416.8250122,19135452,315.5316162
19-07-2010,417.3500061,411.625,415.7250061,413.3500061,3027924,312.901123
20-07-2010,417.2749939,412.5,413.3500061,413.625,2342062,313.109375
21-07-2010,422.3999939,414.7999878,416,421.5,2943720,319.0705872
22-07-2010,423,416.25,421.5,421.8500061,1362882,319.3355408
23-07-2010,425,417.5499878,425,419.6499939,1894472,317.670166
26-07-2010,425.7999878,420.2000122,421.2000122,424.625,2766490,321.4362183
27-07-2010,429.8999939,423.1000061,427.5,424.5750122,2106602,321.3983154
28-07-2010,428.9750061,423.5,425.5,427.2250061,4359228,323.4043579
29-07-2010,427.5,424.5,427.5,425,5331904,323.2332153
30-07-2010,425,417.5,424.5,419.8999939,1283426,319.3544312
02-08-2010,424.2250061,418.5,421.5,419.1499939,2827762,318.7841492
03-08-2010,422.25,414.2749939,420.5,416.0249939,1281552,316.4073181
04-08-2010,436,417.9249878,418,434.3999939,5583934,330.3823853
05-08-2010,441.2000122,432.8250122,436,438.9249878,2912950,333.823822
06-08-2010,441.75,430.3250122,440,432.3500061,2437734,328.8233032
09-08-2010,441.8500061,423.0499878,430.5750122,439.9249878,4259986,334.5844421
