Date,ADANIPORTS,AMBUJACEM,ASIANPAINT,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BAJFINANCE,BPCL,BHARTIARTL,INDUSTOWER,BOSCHLTD,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GAIL,HCLTECH,HDFCBANK,HEROMOTOCO,HINDALCO,HINDPETRO,HINDUNILVR,HDFC,ICICIBANK,IBULHSGFIN,ITC,IOC,INDUSINDBK,INFY,KOTAKBANK,LUPIN,LT,M&M,MARUTI,NTPC,ONGC,POWERGRID,RELIANCE,SBIN,SUNPHARMA,TCS,TATAMOTORS,TATASTEEL,TECHM,UPL,ULTRACEMCO,VEDL,WIPRO,YESBANK,ZEEL,^NSEI
2013-01-01,130.76504516601562,163.4497833251953,407.7804870605469,90.52208709716797,257.542236328125,1535.4202880859375,126.48336791992188,70.3245849609375,280.5190734863281,130.3209228515625,8476.33203125,399.88458251953125,152.7309112548828,1670.122802734375,255.08702087402344,47.075035095214844,123.63703155517578,315.5912780761719,1375.001220703125,124.22660064697266,36.20764923095703,442.5071105957031,707.9675903320312,186.27247619628906,,144.73191833496094,25.716890335083008,397.8643798828125,220.8771514892578,323.0263671875,580.87451171875,613.4266967773438,432.0719299316406,1389.07958984375,82.407958984375,110.697265625,57.88052749633789,387.8851013183594,216.81239318847656,346.080078125,507.3825378417969,309.8193054199219,14.550795555114746,188.70309448242188,78.63436126708984,1952.255859375,72.86027526855469,135.36196899414062,87.24320983886719,207.49366760253906,
2013-01-02,131.38186645507812,165.4342041015625,403.0693054199219,94.3825454711914,262.1064147949219,1586.0872802734375,125.0936279296875,72.32792663574219,279.6047058105469,132.79225158691406,8555.5615234375,402.75836181640625,152.20050048828125,1671.896728515625,249.1790313720703,48.04313278198242,124.25306701660156,316.9052734375,1380.7989501953125,125.01373291015625,37.08223342895508,442.42364501953125,719.5692749023438,188.7728271484375,,143.79978942871094,26.232868194580078,407.02960205078125,220.9105987548828,326.4805908203125,581.0635375976562,622.7324829101562,430.60382080078125,1428.5213623046875,83.46788024902344,113.57171630859375,57.49921417236328,391.23016357421875,218.96583557128906,346.73529052734375,507.0411071777344,311.0419921875,14.549135208129883,189.92587280273438,78.21863555908203,1964.2713623046875,74.43782043457031,134.28765869140625,89.22766876220703,214.7399139404297,5993.25
2013-01-03,131.23956298828125,167.21612548828125,405.3511657714844,94.61651611328125,262.6922912597656,1595.19775390625,128.46151733398438,72.28845977783203,285.6574401855469,134.6704864501953,8495.4716796875,400.2677307128906,152.94309997558594,1712.4730224609375,249.60665893554688,47.85873031616211,124.39215087890625,315.0611267089844,1368.189208984375,124.45809936523438,37.24465560913086,443.966552734375,718.6344604492188,188.45928955078125,,142.86769104003906,26.189462661743164,408.2516174316406,223.65626525878906,325.4865417480469,575.3464965820312,617.93798828125,429.5945129394531,1415.588134765625,83.49437713623047,115.72236633300781,58.03303527832031,397.1358337402344,220.8467254638672,343.4359436035156,513.9848022460938,311.1397705078125,14.686939239501953,190.2593536376953,81.24760437011719,1954.2340087890625,74.9881362915039,135.6688995361328,90.0232925415039,214.78636169433594,6009.5
2013-01-04,130.48037719726562,166.93263244628906,405.8396911621094,94.35916900634766,260.6134033203125,1588.4998779296875,128.52169799804688,73.8180923461914,284.78656005859375,136.51568603515625,8438.8154296875,398.6392517089844,154.36448669433594,1718.8868408203125,246.32977294921875,48.886104583740234,126.0018081665039,313.2168884277344,1368.189208984375,122.74497985839844,39.20621109008789,445.9263916015625,712.0048217773438,190.12347412109375,,142.28822326660156,27.115339279174805,404.9145202636719,224.770751953125,323.1506652832031,571.2359008789062,614.5970458984375,431.819580078125,1417.5601806640625,84.20980834960938,117.79034423828125,58.43974685668945,397.6434020996094,222.1959686279297,344.04437255859375,521.4501342773438,308.49884033203125,14.39472770690918,190.4917755126953,80.71307373046875,1970.689697265625,73.9975814819336,137.66404724121094,89.44715118408203,210.93099975585938,6016.14990234375
2013-01-07,132.90017700195312,165.1102294921875,405.1345520019531,94.33576202392578,259.46051025390625,1582.23388671875,128.331787109375,76.0879135131836,284.6124267578125,136.6804656982422,8423.3291015625,406.49420166015625,152.83702087402344,1717.2950439453125,248.14059448242188,48.25388717651367,124.77965545654297,308.07611083984375,1374.9652099609375,124.45809936523438,41.111549377441406,438.1704406738281,699.4680786132812,190.0832977294922,,140.60028076171875,27.124980926513672,405.4785461425781,227.1863250732422,322.2808532714844,565.8494262695312,599.5528564453125,437.7377624511719,1453.4703369140625,83.5208511352539,119.11382293701172,58.160125732421875,395.2210998535156,220.48928833007812,348.25628662109375,519.7041625976562,306.3958740234375,14.64045238494873,187.36911010742188,81.5148696899414,1969.5313720703125,74.34609985351562,138.10740661621094,91.12982940673828,207.4007568359375,5988.39990234375
2013-01-08,130.4329071044922,163.61181640625,405.1114501953125,93.91458129882812,257.0886535644531,1583.350341796875,128.2159881591797,75.15039825439453,287.6605529785156,133.74781799316406,8378.275390625,411.4274597167969,152.8582305908203,1735.990478515625,243.890625,48.01679611206055,126.13099670410156,309.0212707519531,1363.22509765625,123.16165924072266,40.38689422607422,438.2538146972656,714.2144775390625,189.6652374267578,,143.95094299316406,27.134624481201172,407.7345886230469,224.2397918701172,324.41802978515625,565.0462036132812,591.5308227539062,439.6416015625,1444.5272216796875,83.44136810302734,119.98234558105469,59.20233154296875,392.4759216308594,222.79017639160156,353.07659912109375,521.871826171875,307.2762145996094,14.389745712280273,187.23776245117188,81.72271728515625,1948.73291015625,73.2638168334961,135.78826904296875,91.3858871459961,208.09750366210938,6001.7001953125
2013-01-09,128.2503204345703,159.56201171875,402.3502502441406,91.94930267333984,255.07582092285156,1554.145751953125,127.04856872558594,76.12738800048828,290.6651611328125,135.1317596435547,8315.9287109375,410.373779296875,154.32205200195312,1738.492431640625,241.49513244628906,48.81367111206055,126.35953521728516,307.75341796875,1339.0203857421875,122.28193664550781,41.96739196777344,433.08319091796875,705.4601440429688,189.8099365234375,,140.82705688476562,27.61684226989746,408.486572265625,222.9961395263672,322.60394287109375,559.7070922851562,585.0375366210938,442.4631042480469,1439.711669921875,82.51394653320312,120.85086822509766,58.744773864746094,393.42181396484375,225.421630859375,356.2354431152344,512.3792724609375,320.1873779296875,14.022825241088867,189.86526489257812,80.77246856689453,1893.9136962890625,72.21826171875,135.41310119628906,92.21807861328125,207.49366760253906,5971.5
2013-01-10,128.86715698242188,155.30972290039062,402.2164001464844,89.30545043945312,258.54388427734375,1539.9215087890625,130.21726989746094,75.17012786865234,287.4428405761719,135.1647186279297,8418.634765625,407.54791259765625,155.1494598388672,1737.7193603515625,244.88113403320312,48.39876937866211,127.50215911865234,311.58013916015625,1339.7811279296875,120.42988586425781,41.261470794677734,430.8314514160156,701.6354370117188,189.6571807861328,,141.58282470703125,27.597557067871094,414.7378234863281,222.1638641357422,324.96466064453125,552.8560180664062,583.8670654296875,441.0179443359375,1442.1881103515625,81.50703430175781,125.00746154785156,57.905921936035156,392.1990661621094,226.87811279296875,352.9830017089844,505.0745544433594,326.3984375,13.963052749633789,197.18170166015625,81.30699920654297,1832.9178466796875,70.91586303710938,134.91860961914062,94.27570343017578,209.76974487304688,5968.64990234375
2013-01-11,124.9764633178711,150.97640991210938,396.3852233886719,86.33406829833984,257.80682373046875,1525.4815673828125,128.322509765625,73.1766357421875,283.21893310546875,135.39537048339844,8307.66796875,403.76416015625,153.02792358398438,1728.439453125,245.2913055419922,48.003623962402344,128.1480712890625,308.5832824707031,1333.041259765625,117.65180206298828,40.73048782348633,415.4029235839844,688.0361328125,187.092529296875,,137.7535400390625,27.462533950805664,405.196533203125,259.4542236328125,313.1112060546875,555.3603515625,578.3365478515625,430.28271484375,1435.7216796875,80.92410278320312,120.91293334960938,57.52463150024414,387.5159912109375,222.58465576171875,345.9631042480469,524.3200073242188,323.1706237792969,13.856794357299805,199.96080017089844,79.55494689941406,1817.6204833984375,71.31942749023438,143.22312927246094,91.15727233886719,215.8082733154297,5951.2998046875
2013-01-14,129.34164428710938,153.93275451660156,402.4792175292969,89.86698150634766,261.96466064453125,1507.6561279296875,129.14248657226562,73.65033721923828,286.2671203613281,136.94407653808594,8313.8994140625,398.78289794921875,152.3914794921875,1740.4486083984375,241.25079345703125,48.853179931640625,133.70242309570312,308.5832824707031,1335.7591552734375,118.7630386352539,41.2239875793457,421.407470703125,702.9528198242188,190.56568908691406,,140.02088928222656,27.78562355041504,413.7507019042969,268.4849853515625,312.39056396484375,547.2334594726562,586.9627685546875,428.95220947265625,1411.735595703125,81.63953399658203,126.24823760986328,56.96540832519531,391.0456237792969,223.36203002929688,344.11456298828125,535.6182861328125,320.5296936035156,14.0726318359375,202.51754760742188,82.04938507080078,1801.06884765625,72.21826171875,142.9502410888672,92.63874816894531,216.17987060546875,6024.0498046875
