Date,Open,High,Low,Close,Adj Close,Volume,Direction
18/11/2015,1194.449951,1194.449951,1173,1175.719971,1038.072876,1520352,
19/11/2015,1182.680054,1190.800049,1176,1181.280029,1042.982178,1866906,UP
20/11/2015,1183.25,1211.780029,1180.969971,1199.180054,1058.786377,2012126,UP
23/11/2015,1202.650024,1206.699951,1191.119995,1195.530029,1055.563843,1088082,DOWN
24/11/2015,1190.030029,1196.219971,1182.75,1183.969971,1045.3573,998640,DOWN
26/11/2015,1188.949951,1191.199951,1168.930054,1172.780029,1035.477173,2915292,DOWN
27/11/2015,1174,1179.719971,1166.25,1176.680054,1038.920654,1737206,UP
30/11/2015,1182.5,1195.619995,1175.069946,1186.780029,1047.838257,4100048,UP
01/12/2015,1181.449951,1189.030029,1178.530029,1180.949951,1042.69043,1721994,DOWN
02/12/2015,1189,1189.050049,1173.25,1182.599976,1044.147461,1640296,UP
03/12/2015,1180,1186.5,1173.5,1175.380005,1037.772705,2283358,DOWN
04/12/2015,1170,1173.650024,1160.550049,1164.199951,1027.901733,1246092,DOWN
07/12/2015,1166.099976,1171.949951,1157.619995,1159.900024,1024.105103,1382604,DOWN
08/12/2015,1159.699951,1174.5,1158.650024,1164.5,1028.166626,1139964,UP
09/12/2015,1168.949951,1186.400024,1160,1183.819946,1045.224609,5282806,UP
10/12/2015,1184.5,1195.599976,1176,1192.280029,1052.69397,1723988,UP
11/12/2015,1191.5,1195.969971,1181.619995,1193,1053.329956,1652378,UP
14/12/2015,1167.599976,1193.5,1165.300049,1189.219971,1049.992676,2718532,DOWN
15/12/2015,1189.219971,1192.5,1181.530029,1187.930054,1048.853516,1135868,DOWN
16/12/2015,1192,1207.25,1192,1204.199951,1063.218872,1435934,UP
17/12/2015,1207.5,1222.5,1196.680054,1219.880005,1077.062988,1618844,UP
18/12/2015,1210,1217.099976,1200.319946,1208.400024,1066.92688,3024970,DOWN
21/12/2015,1209.969971,1225,1203.430054,1223.199951,1079.994019,1610104,UP
