date,prices
03-09-2010 21:00,1.311145
06-09-2010 21:00,1.30378
07-09-2010 21:00,1.282545
08-09-2010 21:00,1.28666
09-09-2010 21:00,1.288645
10-09-2010 21:00,1.295805
13-09-2010 21:00,1.29768
14-09-2010 21:00,1.29485
15-09-2010 21:00,1.305355
16-09-2010 21:00,1.328495
17-09-2010 21:00,1.316505
20-09-2010 21:00,1.312565
21-09-2010 21:00,1.32153
22-09-2010 21:00,1.32191
23-09-2010 21:00,1.312125
24-09-2010 21:00,1.328945
27-09-2010 21:00,1.325615
28-09-2010 21:00,1.325575
29-09-2010 21:00,1.331395
30-09-2010 21:00,1.339625
01-10-2010 21:00,1.343595
04-10-2010 21:00,1.329575
05-10-2010 21:00,1.337205
06-10-2010 21:00,1.339595
07-10-2010 21:00,1.34562
08-10-2010 21:00,1.3426
11-10-2010 21:00,1.338845
12-10-2010 21:00,1.332295
13-10-2010 21:00,1.33816
14-10-2010 21:00,1.34214
15-10-2010 21:00,1.338165
18-10-2010 21:00,1.337045
19-10-2010 21:00,1.33391
20-10-2010 21:00,1.343005
21-10-2010 21:00,1.347245
22-10-2010 21:00,1.36446
25-10-2010 21:00,1.355815
26-10-2010 21:00,1.364165
27-10-2010 21:00,1.36365
28-10-2010 21:00,1.36995
29-10-2010 21:00,1.3698
01-11-2010 21:00,1.377995
02-11-2010 21:00,1.37451
03-11-2010 21:00,1.372425
04-11-2010 21:00,1.361655
05-11-2010 21:00,1.350095
08-11-2010 22:00,1.34471
09-11-2010 22:00,1.333515
10-11-2010 22:00,1.33806
11-11-2010 22:00,1.33282
12-11-2010 22:00,1.34217
15-11-2010 22:00,1.337705
16-11-2010 22:00,1.34344
17-11-2010 22:00,1.341325
18-11-2010 22:00,1.35858
19-11-2010 22:00,1.357635
22-11-2010 22:00,1.348385
23-11-2010 22:00,1.33322
24-11-2010 22:00,1.328015
25-11-2010 22:00,1.336825
26-11-2010 22:00,1.32852
29-11-2010 22:00,1.312795
30-11-2010 22:00,1.30286
01-12-2010 22:00,1.31684
02-12-2010 22:00,1.311385
03-12-2010 22:00,1.308275
06-12-2010 22:00,1.30635
07-12-2010 22:00,1.30973
08-12-2010 22:00,1.308005
09-12-2010 22:00,1.301985
10-12-2010 22:00,1.296605
13-12-2010 22:00,1.2962
14-12-2010 22:00,1.283655
15-12-2010 22:00,1.278895
16-12-2010 22:00,1.27711
17-12-2010 22:00,1.279105
20-12-2010 22:00,1.26678
21-12-2010 22:00,1.25524
22-12-2010 22:00,1.24718
23-12-2010 22:00,1.25737
24-12-2010 22:00,1.261595
27-12-2010 22:00,1.26403
28-12-2010 22:00,1.248645
29-12-2010 22:00,1.25082
30-12-2010 22:00,1.2426
31-12-2010 22:00,1.251235
03-01-2011 22:00,1.247085
04-01-2011 22:00,1.262385
05-01-2011 22:00,1.270155
06-01-2011 22:00,1.25556
07-01-2011 22:00,1.248505
10-01-2011 22:00,1.25298
11-01-2011 22:00,1.26325
12-01-2011 22:00,1.26936
13-01-2011 22:00,1.288
14-01-2011 22:00,1.28991
17-01-2011 22:00,1.282395
18-01-2011 22:00,1.2898
19-01-2011 22:00,1.28659
20-01-2011 22:00,1.303115
21-01-2011 22:00,1.30485
24-01-2011 22:00,1.294595
25-01-2011 22:00,1.28937
26-01-2011 22:00,1.291725
27-01-2011 22:00,1.29842
28-01-2011 22:00,1.282105
31-01-2011 22:00,1.292535
01-02-2011 22:00,1.293565
02-02-2011 22:00,1.298325
03-02-2011 22:00,1.28917
04-02-2011 22:00,1.297305
07-02-2011 22:00,1.297745
08-02-2011 22:00,1.312455
09-02-2011 22:00,1.315345
10-02-2011 22:00,1.318125
11-02-2011 22:00,1.31842
14-02-2011 22:00,1.308385
15-02-2011 22:00,1.304285
16-02-2011 22:00,1.3019
17-02-2011 22:00,1.29245
18-02-2011 22:00,1.294605
21-02-2011 22:00,1.29499
22-02-2011 22:00,1.28165
23-02-2011 22:00,1.28262
24-02-2011 22:00,1.278505
25-02-2011 22:00,1.27627
