,companyTickers,forward pe,price to book,forward eps,beta,quick ratio,debt to equity
STZ,STZ,19.23956,3.9949274,12.69,1.039591,0.415,94.972
COO,COO,22.332878,2.2872264,14.57,0.925074,0.565,50.11
CPRT,CPRT,27.071428,7.033843,4.76,1.111536,4.042,12.061
GLW,GLW,14.673387,2.5554776,2.48,0.945083,0.618,63.195
CTVA,CTVA,19.35374,1.6061198,2.94,0.730413,0.997,8.374
COST,COST,37.711033,12.131923,14.5,0.650063,0.434,44.05
CCI,CCI,43.78832,9.9129715,4.11,0.585355,0.426,351.698
CSX,CSX,16.548222,5.316373,1.97,1.207322,0.962,127.502
CMI,CMI,11.080366,3.6435406,19.66,1.010642,0.955,49.696
CVS,CVS,10.680757,1.6985371,8.99,0.757769,0.542,102.394
DHI,DHI,5.410097,1.5045099,14.46,1.579395,0.396,32.98
DHR,DHR,26.781395,4.6614423,10.75,0.829289,1.138,45.411
DRI,DRI,14.556593,7.034113,8.57,1.312047,0.266,268.665
DVA,DVA,8.417659,9.57675,10.08,1.195402,1.177,493.73
DE,DE,13.462977,5.6527047,25.12,1.010784,1.982,268.357
XRAY,XRAY,13.375464,1.591472,2.69,0.946785,0.83,48.43
DVN,DVN,6.5569754,4.3741117,9.39,2.620689,1.188,71.489
DXCM,DXCM,23.15746,3.8028488,3.62,0.929411,4.544,97.826
FANG,FANG,7.3680515,1.9825238,17.09,2.292647,0.928,50.698
DFS,DFS,7.1382685,2.2141836,14.32,1.479352,1.236,145.198
DISH,DISH,6.227437,0.6099286,2.77,1.996078,0.974,144.106
DG,DG,20.02224,9.598294,12.59,0.425713,0.053,251.816
DLTR,DLTR,22.314592,5.1747794,7.47,0.754901,0.236,129.174
D,D,19.985472,2.726792,4.13,0.421568,0.329,151.725
DOV,DOV,15.86091,4.894003,8.34,1.382352,0.773,71.491
DOW,DOW,7.748892,1.985692,6.77,1.406411,0.767,77.172
DTE,DTE,20.767515,2.946945,6.28,0.616006,0.323,223.546
DUK,DUK,20.082268,1.784235,5.47,0.348039,0.248,133.761
DD,DD,12.186234,1.1710924,4.94,1.208333,1.097,41.615
DXC,DXC,6.4198785,1.4887111,4.93,2.106002,0.952,114.753
ETN,ETN,17.81401,3.5410767,8.28,1.15283,0.529,59.93
EBAY,EBAY,10.827434,2.830374,4.52,1.154411,1.753,96.461
ECL,ECL,28.653517,6.7142286,5.83,1.030225,0.734,127.527
EIX,EIX,13.812371,1.8518313,4.85,0.67816,0.299,175.694
EW,EW,35.141342,10.370176,2.83,1.142613,2.265,11.488
EA,EA,16.17676,4.806626,8.09,0.840357,1.057,29.259
EMR,EMR,16.332724,5.01741,5.47,1.404427,1.29,108.329
ETR,ETR,17.097778,2.0022206,6.75,0.593018,0.357,238.063
EOG,EOG,6.4924564,2.9250388,16.57,1.693486,1.153,24.707
EFX,EFX,24.227587,6.7803264,8.7,1.484035,0.424,148.788
ESS,ESS,44.35658,3.1276822,6.31,0.771392,0.156,100.652
EL,EL,34.061024,15.913773,8.03,0.986802,1.118,110.523
ETSY,ETSY,38.09191,22.592674,2.72,1.737335,2.282,410.896
EVRG,EVRG,18.113756,1.7009913,3.78,0.485738,0.066,125.192
RE,RE,6.152121,1.1236526,41.02,0.610898,1.077,34.896
EXC,EXC,19.13278,1.9240559,2.41,0.579395,0.646,167.945
EXPE,EXPE,10.752091,7.7700505,9.56,1.622818,0.592,226.297
EXPD,EXPD,18.232878,4.639854,5.84,0.868454,1.632,12.204
EXR,EXR,29.6719,7.904399,6.37,0.481481,0.625,161.357
XOM,XOM,9.553084,2.220864,9.89,1.051936,0.835,25.41
FFIV,FFIV,14.471154,4.2443275,11.44,1.153256,0.675,26.674
FB,FB,13.338615,3.429619,11.99,1.40613,2.341,13.262
FAST,FAST,26.430769,9.318387,1.95,1.252873,1.592,24.035
FRT,FRT,39.621723,3.3962567,2.67,1.146871,1.061,143.126
FDX,FDX,9.538523,2.476661,24.92,1.23925,1.314,149.14
FIS,FIS,12.429603,1.3420211,8.31,0.736057,0.396,40.712
FE,FE,15.952756,2.132295,2.54,0.420604,0.554,186.636
FISV,FISV,14.322537,2.1936297,7.41,0.816943,0.323,67.297
FLT,FLT,12.6642,5.9250674,17.57,1.256704,0.827,218.675
FMC,FMC,12.6138735,4.491972,8.65,0.858663,0.847,127.681
F,F,7.5940595,1.3961954,2.02,1.206896,0.954,294.401
FTV,FTV,19.06213,2.4259198,3.38,1.160068,0.622,38.966
FBHS,FBHS,10.561457,3.0484867,6.59,1.541507,0.943,118.808
FOXA,FOXA,9.314763,1.6664175,3.59,0.947737,3.287,67.533
FOX,FOX,13.234043,1.5498083,2.35,0.947737,3.287,67.533
BEN,BEN,9.503402,1.206182,2.94,1.185185,1.707,28.576
FCX,FCX,14.276191,2.9337509,2.1,2.083014,1.838,46.126
GPS,GPS,10.319149,1.4586465,0.94,1.730949,0.243,263.773
GRMN,GRMN,14.430249,3.234268,6.81,1.013197,1.424,1.823
GNRC,GNRC,19.077753,7.33029,13.89,1.195402,0.651,51.9
GD,GD,16.144182,3.5618336,14.01,0.896126,0.899,75.784
GE,GE,16.37149,2.3992658,4.63,1.071519,0.704,97.769
GIS,GIS,17.853773,4.300403,4.24,0.359301,0.336,111.007
GM,GM,5.7453127,0.86241674,6.4,1.266496,0.853,163.958
GPC,GPC,18.098225,5.9348803,8.45,0.965942,0.378,112.74
GILD,GILD,9.385827,3.753621,6.35,0.39123,1.146,131.599
GPN,GPN,11.540127,1.4315757,11.09,1.040017,0.62,48.644
GS,GS,8.605338,1.0987113,38.59,1.38527,1.685,455.085
GWW,GWW,19.379406,12.722221,28.36,1.178799,1.349,109.493
HAL,HAL,10.067858,3.586058,2.8,2.313324,1.388,133.436
HBI,HBI,6.5470586,4.979866,1.7,1.475947,0.614,495.457
HIG,HIG,7.801968,1.4827715,8.13,0.980417,0.993,30.753
HAS,HAS,13.91944,3.6784377,5.71,0.830991,0.869,135.859
HSIC,HSIC,15.191861,3.0052905,5.16,0.738612,0.732,25.201
HSY,HSY,26.290619,16.287212,8.74,0.326947,0.301,184.781
HES,HES,9.374138,4.7375073,11.6,1.673478,0.917,117.208
HPE,HPE,6.614679,0.9123118,2.18,1.168582,0.486,66.043
HOLX,HOLX,20.15625,3.541656,3.52,1.088974,3.094,56.914
HON,HON,19.813211,7.3737373,9.69,1.082588,0.831,110.32
HRL,HRL,24.063416,3.670114,2.05,0.108556,1.14,45.212
HST,HST,19.604395,1.9559258,0.91,1.240527,4.031,71.121
HWM,HWM,20.298912,4.5850725,1.84,1.376756,0.836,125.571
HUM,HUM,17.122656,3.8778095,27.72,0.80034,1.209,85.248
HII,HII,12.011037,3.0926194,18.12,0.713069,1.041,120.092
IEX,IEX,25.036058,5.653106,8.32,1.020008,1.914,46.761
ITW,ITW,21.39835,18.033571,9.69,1.097488,1.146,219.375
INCY,INCY,16.826088,4.4360385,4.6,0.658152,3.506,1.141
IR,IR,21.2684,2.3136332,2.31,1.489331,2.125,38.986
INTC,INTC,10.68208,1.4993306,3.46,0.670923,1.234,35.004
ICE,ICE,17.521814,2.4760168,5.73,0.902085,0.014,63.718
IBM,IBM,13.04743,6.144253,10.12,0.931885,0.675,274.055
IP,IP,9.188842,1.7141026,4.66,0.914857,1.085,65.863
IPG,IPG,11.07037,3.44752,2.7,1.028948,0.973,133.664
IFF,IFF,23.657845,1.4867835,5.29,1.05049,0.805,57.483
INTU,INTU,32.356422,7.468732,13.86,1.136653,1.294,43.305
IPGP,IPGP,19.717949,2.089471,5.46,1.342699,6.018,1.44
IQV,IQV,20.620241,8.310787,11.56,1.329927,0.831,243.871
JKHY,JKHY,39.678776,11.3790655,5.23,0.583652,0.898,20.995
J,J,15.756691,2.8104591,8.22,0.858823,1.356,59.414
JBHT,JBHT,22.195599,6.5245986,8.18,1.036274,1.059,39.859
SJM,SJM,14.602396,1.7531356,9.18,0.243933,0.356,56.643
JNJ,JNJ,16.754335,6.5149474,10.38,0.719607,1.06,44.369
JCI,JCI,15.462857,2.1841075,3.5,1.169117,0.689,50.757
JNPR,JNPR,12.603603,2.1099465,2.22,0.936143,1.059,42.674
K,K,17.462616,6.654202,4.28,0.432524,0.343,186.496
KEYS,KEYS,21.034702,7.800286,7.78,1.064708,1.977,53.136
KMI,KMI,14.793387,1.3228881,1.21,0.939974,0.323,100.212
KLAC,KLAC,17.16244,40.78689,22.47,1.287356,1.574,476.075
KHC,KHC,13.464029,0.9396731,2.78,0.787143,0.402,43.114
KR,KR,11.540741,3.575855,4.05,0.530864,0.201,220.92
LHX,LHX,16.701317,2.418319,14.43,0.72286,0.964,40.657
LH,LH,14.211571,2.2568312,18.15,1.021285,1.556,60.608
LRCX,LRCX,13.908712,10.969543,36.15,1.32269,1.746,79.731
LVS,LVS,27.569344,6.8847976,1.37,1.252873,3.267,364.863
LEG,LEG,13.026403,3.340669,3.03,1.435294,0.758,138.772
LDOS,LDOS,15.086083,3.5773826,6.97,0.75245,0.903,134.853
LEN,LEN,4.9958973,1.2333764,17.06,1.531862,1.09,28.851
LLY,LLY,34.742764,31.270498,9.33,0.36739,0.772,174.931
LNC,LNC,4.5691204,0.4474214,11.14,1.97598,0.506,38.388
LIN,LIN,29.076551,3.4700203,10.32,0.90196,0.649,37.071
LKQ,LKQ,13.035378,2.7347848,4.24,1.404853,0.574,65.411
LMT,LMT,15.954337,11.928307,26.28,0.792156,1.031,116.427
L,L,19.189655,0.79262215,2.9,0.889215,0.296,49.241
LUMN,LUMN,6.9810123,1.0169648,1.58,1.019117,0.282,257.922
LYB,LYB,5.517132,2.3265457,15.76,1.345253,0.847,106.877
MRO,MRO,5.658019,1.5133736,4.24,2.618135,1.051,36.547
MPC,MPC,9.32095,2.0534272,9.69,1.785866,1.045,89.568
MKTX,MKTX,34.761288,10.132009,7.75,0.584929,10.46,8.549
MMC,MMC,24.06538,8.410448,6.73,0.961764,1.076,124.641
MLM,MLM,24.011526,3.4771297,14.75,0.773529,1.386,87.778
MKC,MKC,28.300001,5.346456,3.1,0.471078,0.278,116.423
MDT,MDT,15.48752,2.3570523,6.01,0.775223,1.301,47.388
MET,MET,8.734722,0.7691931,7.2,1.184313,0.795,161.024
MGM,MGM,38.635292,2.258597,0.85,2.32745,1.615,223.126
MCHP,MCHP,12.50633,6.505503,5.53,1.595146,0.995,133.17
MU,MU,5.433536,1.5243992,11.51,1.155392,2.241,16.029
MSFT,MSFT,26.376661,13.734315,10.54,0.908333,1.773,47.863
MAA,MAA,41.153843,3.5094826,4.42,0.71392,0.091,73.731
MHK,MHK,7.969582,0.92905056,15.78,1.290762,0.661,34.492
TAP,TAP,14.52068,0.9750678,4.11,0.95196,0.419,54.64
MDLZ,MDLZ,20.731628,3.2368932,3.13,0.621541,0.385,71.502
MNST,MNST,33.5,8.345196,2.94,1.141176,4.116,0.341
MCO,MCO,26.670427,24.604736,11.53,1.188165,1.2,335.821
MOS,MOS,4.87109,1.5984945,10.55,1.65432,0.514,39.145
NDAQ,NDAQ,23.289062,4.713416,7.68,0.906862,0.15,105.878
NTAP,NTAP,13.059891,21.139835,5.51,1.217156,1.41,334.694
NFLX,NFLX,21.062386,5.2734523,10.74,1.277564,0.878,88.641
NWL,NWL,9.844661,2.125118,2.06,0.740315,0.407,148.923
NEM,NEM,13.785275,1.6636434,3.26,0.427415,1.927,28.58
NWSA,NWSA,16.631067,1.2365552,1.03,1.335784,1.226,37.028
NEE,NEE,27.698051,4.5999136,3.08,0.449127,0.298,142.54
NLSN,NLSN,11.94,2.4735858,2.0,1.383141,1.674,156.585
NKE,NKE,24.90196,11.750796,4.59,1.005534,1.646,82.632
NI,NI,19.574194,2.1766267,1.55,0.375053,0.453,130.464
NSC,NSC,16.980537,4.517632,14.9,1.326096,0.946,118.504
NOC,NOC,17.415966,5.39624,27.31,0.652618,1.088,106.234
NOV,NOV,22.25926,1.4427464,0.81,1.886334,1.509,47.848
NRG,NRG,8.708333,1.7891282,4.32,0.957428,0.341,165.646
NUE,NUE,11.099589,2.1020966,12.15,1.317581,1.328,41.178
NVDA,NVDA,29.458466,17.544477,6.26,1.636866,4.634,45.008
NXPI,NXPI,13.437728,6.959113,13.73,1.420178,1.544,154.442
OXY,OXY,7.8590364,4.03651,8.3,1.947637,0.844,111.198
ODFL,ODFL,24.880426,9.660688,12.21,0.994465,0.669,2.811
OMC,OMC,10.403562,5.069771,6.74,0.835249,0.785,172.672
OKE,OKE,13.65358,4.405037,4.33,1.712217,0.489,231.563
PCAR,PCAR,11.674808,2.5229156,7.78,0.88676,1.068,94.606
PH,PH,15.105151,4.1162815,19.02,1.548318,0.565,90.869
PAYX,PAYX,28.638008,14.766684,4.42,0.976585,0.482,29.376
PAYC,PAYC,47.70977,18.368183,6.96,1.476372,0.092,10.143
PYPL,PYPL,18.6846,4.990702,4.74,1.433375,0.201,48.668
PENN,PENN,13.3320465,1.4385102,2.59,2.262239,1.717,328.732
PNR,PNR,12.423077,3.108958,3.9,1.070668,0.636,38.72
PEP,PEP,24.406897,13.1718025,7.25,0.565346,0.595,210.34
PKI,PKI,23.348331,2.823717,6.89,1.128565,1.276,70.242
PRGO,PRGO,13.321876,1.12412,3.2,0.92848,2.729,72.698
PSX,PSX,8.602753,1.7337111,10.17,1.428693,0.92,57.107
PNW,PNW,17.657894,1.4063333,4.18,0.330779,0.284,137.621
PXD,PXD,7.8223596,2.3318818,29.16,1.580246,1.404,25.456
POOL,POOL,19.397758,11.702635,18.73,0.914005,0.98,151.238
PPG,PPG,15.159437,4.915422,8.53,1.150276,0.933,125.815
PPL,PPL,18.012423,1.5389514,1.61,0.767134,1.713,88.013
PFG,PFG,9.374302,1.4227875,7.16,1.431673,1.897,38.836
PG,PG,23.349672,7.301246,6.12,0.386121,0.374,67.215
PGR,PGR,18.41626,4.2322783,6.15,0.494252,0.297,40.801
PLD,PLD,38.637165,2.8056722,3.39,0.862068,0.154,46.408
PRU,PRU,8.221948,0.8512947,12.12,1.458492,0.15,76.881
PEG,PEG,18.143646,2.4005847,3.62,0.578118,0.668,143.609
PSA,PSA,28.088312,10.627314,11.55,0.324393,0.986,75.912
PHM,PHM,4.8273225,1.5768805,9.15,1.423529,0.515,33.959
PVH,PVH,5.9436483,0.79643184,10.47,2.083865,0.668,72.298
QRVO,QRVO,8.286865,2.4010084,12.41,1.36143,2.335,46.71
PWR,PWR,22.778324,4.167268,6.09,1.171078,1.401,78.217
QCOM,QCOM,12.665807,16.670057,11.64,1.22598,1.164,117.647
DGX,DGX,16.154846,2.4942057,8.46,1.021285,1.321,71.043
RL,RL,10.408077,2.6995592,9.41,1.389953,1.393,133.75
RTX,RTX,16.131487,1.9579598,5.78,0.791826,0.714,45.824
O,O,49.44295,1.7377868,1.49,0.704555,0.678,64.286
REG,REG,31.885,1.7820814,2.0,1.103022,1.124,63.368
REGN,REGN,12.061912,3.5266201,47.81,0.209313,2.983,14.384
RSG,RSG,26.4357,4.841465,5.21,0.735206,0.67,110.581
RMD,RMD,35.07331,11.518274,6.82,0.325,1.065,25.378
ROK,ROK,23.150322,12.192615,10.91,1.386973,0.668,165.043
ROL,ROL,48.271603,16.809975,0.81,0.568752,0.8,42.839
ROP,ROP,26.462057,3.3358796,16.34,1.027245,1.148,54.325
ROST,ROST,15.918762,7.111995,5.17,0.991485,1.113,139.531
SPGI,SPGI,25.653479,3.2197251,14.66,1.027671,1.208,28.442
CRM,CRM,31.548275,3.0892606,5.8,1.075776,0.877,24.416
SLB,SLB,13.382354,3.1536996,2.72,1.942103,0.856,83.29
SRE,SRE,18.394882,2.0716307,8.99,0.652192,0.614,99.151
SWKS,SWKS,8.501165,3.4142616,12.87,1.095588,2.621,44.68
SNA,SNA,14.923384,2.9734645,15.01,1.190196,2.185,29.181
SO,SO,21.661016,2.8326561,3.54,0.519117,0.453,170.295
LUV,LUV,19.747423,2.2122772,1.94,1.009803,1.731,117.51
SWK,SWK,8.679178,1.6968342,11.19,1.365261,0.159,127.656
STE,STE,23.595968,3.4085479,9.43,0.699872,1.244,50.115
SYK,SYK,20.992134,5.6803427,10.17,0.986764,1.026,97.022
SNPS,SNPS,38.343006,10.170978,9.65,1.172839,1.088,12.124
TMUS,TMUS,44.379627,2.6246712,3.24,0.507843,0.575,162.218
TTWO,TTWO,15.276646,3.6732223,8.35,0.73478,1.538,6.568
TPR,TPR,8.6514,2.9681363,3.93,1.422549,1.151,113.271
TGT,TGT,12.372945,5.767891,13.38,1.058823,0.335,128.378
TEL,TEL,17.498013,4.0568094,7.55,1.278416,0.781,39.879
TDY,TDY,22.124367,2.4730926,17.77,1.093137,1.006,52.753
TFX,TFX,17.226124,3.1414082,14.24,1.05245,1.372,51.65
TER,TER,15.550388,6.4718027,6.45,1.499509,2.28,6.883
TXN,TXN,20.112486,11.609636,8.89,0.974031,4.132,51.405
TXT,TXT,18.523945,2.4076447,3.55,1.710784,1.276,58.233
TMO,TMO,27.130695,6.0013027,21.73,0.82598,0.882,80.851
TJX,TJX,17.402779,13.131419,3.6,0.91358,0.492,227.123
TSCO,TSCO,18.607485,11.304881,10.42,0.963814,0.237,205.581
TT,TT,18.822165,5.6927934,7.76,1.246062,0.859,80.495
TRV,TRV,10.565924,1.6211759,14.79,0.704129,0.175,31.875
TRMB,TRMB,21.652174,4.372531,3.22,1.541081,0.812,35.645
TWTR,TWTR,34.361343,5.3055663,1.19,0.594721,6.973,113.228
TYL,TYL,49.236813,7.4667854,8.15,0.77549,1.03,57.451
TSN,TSN,11.570866,1.8158414,7.62,0.761274,0.836,50.502
ULTA,ULTA,22.026815,10.750062,17.9,1.65196,0.427,120.281
