Date,std_5,std_10,std_15,ma_10,ma_15,ma_20,ma_25,pct_3,pct_6,pct_9,vma_4,co,target
2014-02-05,3.358834813674653,4.044918602577968,5.163403133937284,177.38399963378907,175.61266581217447,168.96649932861328,165.0311993408203,-0.03867097293881294,-0.02072231878395181,-0.03561630051541542,6307000.0,-3.8800048828125,1
2014-02-06,2.5452619910177647,3.8053971759658247,4.101562510999658,177.0720001220703,176.5626658121745,170.32149963378907,166.14919982910158,0.007736114220243673,0.01964051953090662,0.0251040518823471,6140200.0,2.0800018310546875,1
2014-02-07,4.519427852575575,4.707440217942799,4.531227664663401,178.26499938964844,177.5999989827474,172.27149963378906,167.6063995361328,0.04427822705424078,0.021900821457935704,0.0993153936959148,6681100.0,5.520004272460909,1
2014-02-10,8.796295629685353,6.5560356129642035,6.223964086695568,180.95899963378906,179.36999918619793,174.8134994506836,169.4863995361328,0.12216430531102684,0.0834933323722139,0.10144198652707503,8752200.0,7.220001220703068,1
2014-02-11,10.191657089759381,8.111584773619535,7.588278163297961,182.78299865722656,180.69933268229167,177.67749938964843,171.4711993408203,0.09976568609907388,0.10750180031931755,0.1194062056299805,9612675.0,-2.350006103515625,0
2014-02-12,8.060706409026853,8.511091745621277,8.437198081346148,184.79199981689453,181.81666666666666,179.37999954223633,173.309599609375,0.047465066522637045,0.09174329357687783,0.06936588798057275,9445700.0,-0.459991455078125,1
2014-02-13,4.957699255746258,9.661572119494567,9.606210649697873,186.47100067138672,183.02533365885418,181.15499954223634,175.24359985351563,0.015759900755048406,0.13792420606607525,0.09925323312726231,9220900.0,6.290008544921847,0
2014-02-14,1.674834028451358,10.135103151787417,10.05300407441153,188.1529998779297,184.60066630045574,182.51799926757812,177.27159973144532,0.008441643175092994,0.10820732927416687,0.11594344349441055,7517725.0,0.1299896240234375,1
2014-02-18,3.234059112843987,10.400541319416515,10.274151430562606,190.81199951171874,186.87266642252604,184.20249938964844,179.59079956054688,0.042647535133670034,0.09011260165630708,0.13439082871054786,7173450.0,-1.5400085449219034,0
2014-02-19,3.915918293915272,9.50633288673187,10.127620037105398,192.3029998779297,187.88999938964844,185.0504997253418,181.76279968261719,-0.028805145425132794,-0.013045244670084388,0.10911906064094246,9922275.0,-10.05999755859375,1
2014-02-20,6.153546636277918,8.687629770121182,10.9634280005132,195.85800018310547,190.20599975585938,186.62099990844726,183.7107995605469,0.06253963362673842,0.07098127680183142,0.1707469629009053,12415525.0,-5.039993286132841,0
2014-02-21,7.1237213857971025,7.189249370350128,11.822750919700058,198.9800003051758,191.99000040690103,188.02600021362304,185.529599609375,0.033183284893077314,0.07583082002674735,0.12329588654938439,12830725.0,-2.039993286132841,1
2014-02-24,8.921101739765215,7.901395598791801,13.136174949578054,202.09199981689454,194.40599975585937,190.1784996032715,187.39679931640626,0.12097605531837508,0.09217090989324228,0.10793081064829069,12567125.0,8.889999389648438,1
2014-02-25,20.0234424774128,16.241998092689744,18.232558071795403,207.23600006103516,199.13199971516926,194.0974998474121,190.5163995361328,0.17608838947802352,0.23862802310476194,0.24706966627985494,16695300.0,18.0,1
2014-02-26,21.184484762344702,21.18174306323888,21.993100464819964,212.8740005493164,204.08333333333334,197.8284996032715,193.56919982910156,0.1980118130340971,0.2311950979271744,0.27384263306084444,18345875.0,-5.579986572265625,0
2014-02-27,20.857426505685957,23.51319198302625,23.653806827934073,218.59599914550782,209.2913330078125,201.69399948120116,196.5283996582031,0.1577871754873137,0.27876323080568877,0.24995808538055597,20877625.0,-8.710006713867188,0
2014-02-28,14.677451912826365,23.80283217435868,23.671720843310915,223.11399841308594,213.71999918619792,204.79249954223633,199.06079956054688,-0.012265914362093455,0.16382247511593007,0.2263621087426685,22455475.0,-4.839996337890682,1
2014-03-03,3.4082130011508327,23.47433526680019,24.185993274261463,228.3469985961914,217.98866577148436,208.24999923706054,202.09919921875,-0.00893960181982878,0.18907221121426832,0.22225549610734563,17557375.0,13.300003051757756,1
2014-03-04,3.8572784494704493,23.075417490658264,25.1593029020396,233.46099853515625,221.8739990234375,212.1364990234375,205.50799926757813,0.009960338739242292,0.16774751422655598,0.28872356954493106,13592625.0,-3.6400146484374716,0
2014-03-05,3.819321851764115,18.935057919694593,25.30177178959702,239.36299896240234,225.60999959309896,215.832999420166,208.47919921875,0.03201497661984698,0.019749062257753525,0.19583745173577705,10590100.0,-4.059997558593778,1
2014-03-06,3.861453957707039,16.202099906885618,24.74242021679984,243.65999908447264,229.45133260091146,219.75899963378907,211.5875994873047,0.009635577567391973,0.0006959757475631934,0.1987077887816603,8782925.0,-1.1999969482421875,0
2014-03-07,3.294905362846751,10.928873964119385,23.630365071391164,247.3209991455078,232.5566660563151,223.1504997253418,214.12239990234374,-0.03405323798659676,-0.02409289924735447,0.13369427623995922,7463675.0,-6.7299957275390625,0
2014-03-10,6.5951974789537795,4.9623002159730305,21.66091490169151,249.43999938964845,235.26399943033854,225.7659996032715,216.419599609375,-0.05543271721696963,-0.02341774059712265,-0.035683654959216105,7209300.0,-3.860000610351534,0
2014-03-11,8.265536255542651,6.887816814107199,19.839179676339487,248.08099975585938,237.31133321126302,227.65849990844725,218.71159973144532,-0.07508887256053542,-0.06545329499314345,-0.07439289681297223,7927900.0,-2.0899963378906534,1
2014-03-12,7.110469905472394,6.936015737491498,15.738798893547251,246.93000030517578,240.50133361816407,229.9020004272461,221.2220001220703,-0.01827829225871902,-0.05233153024531578,-0.04237119150607349,8526225.0,9.990005493164091,0
